code;parent;label-en_US
products;;Products
automotive_products;products;Automotive Products
engine_parts;automotive_products;Engine Parts
engine_parts_fuel_system;engine_parts;Fuel Components
engine_parts_ignition_system;engine_parts;Ignition System
engine_parts_transmission_parts;engine_parts;Transmission Parts
vehicle_electronics;automotive_products;Vehicle Electronics
vehicle_electronics_batteries;vehicle_electronics;Batteries
vehicle_electronics_infotainment;vehicle_electronics;In-Car Infotainment
vehicle_electronics_navigation;vehicle_electronics;Vehicle Navigation Electronics
wheels_and_tires;automotive_products;Automotive Wheels and Tires
wheels_and_tires_brakes;wheels_and_tires;Wheel Brakes
wheels_and_tires_rims;wheels_and_tires;Rims
wheels_and_tires_tires;wheels_and_tires;Tires
books;products;Books
books_children_books;books;Children Books
books_children_activity_books;books_children_books;Activity Books
books_children_books_board_books;books_children_books;Board Books
books_children_books_early_readers;books_children_books;Early Readers
books_children_books_pop_up_books;books_children_books;Pop-Up Books
books_children_chapter_books;books_children_books;Chapter Books
books_children_picture_books;books_children_books;Picture Books
books_fiction;books;Fiction Books
books_fiction_fantasy;books_fiction;Fantasy
books_fiction_historical_fiction;books_fiction;Historical Fiction
books_fiction_mystery;books_fiction;Mystery Books
books_fiction_romance;books_fiction;Romance
books_fiction_science_fiction;books_fiction;Science Fiction
books_fiction_thriller;books_fiction;Thrillers
books_non_fiction;books;Non-Fiction
books_non_fiction_biography;books_non_fiction;Biography
books_non_fiction_memoir;books_non_fiction;Memoir
books_non_fiction_history;books;History Books
books_non_fiction_science;books;Science Books
books_non_fiction_self_help;books;Self-Help Books
books_reference_guides;books;Reference Guides
clothing;products;Clothing
accessories;clothing;Fashion Accessories
accessories_belts;accessories;Belts
accessories_hats;accessories;Headwear
accessories_watches;accessories;Dress Watches
footwear;clothing;Footwear
footwear_boots;footwear;Boots
footwear_sandals;footwear;Sandals
footwear_sneakers;footwear;Sneakers
kids_clothing;clothing;Kids Clothing
kids_clothing_onesies;kids_clothing;Baby Onesies
kids_clothing_school_uniforms;kids_clothing;School Uniforms
kids_clothing_toddler_sets;kids_clothing;Toddler Sets
mens_clothing;clothing;Men's Clothing
mens_clothing_jeans;mens_clothing;Jeans
mens_clothing_outerwear;mens_clothing;Outerwear
mens_clothing_shirts;mens_clothing;Shirts
womens_clothing;clothing;Women's Clothing
womens_clothing_activewear;womens_clothing;Activewear
womens_clothing_dresses;womens_clothing;Dresses
womens_clothing_tops;womens_clothing;Women Tops
cosmetics;products;Cosmetics
makeup;cosmetics;Makeup
makeup_eyes;makeup;Eye Makeup
makeup_foundation;makeup;Foundation
makeup_lips;makeup;Lip Makeup
skin_care;cosmetics;Skin Care
skin_care_cleansers;skin_care;Cleansers
skin_care_moisturizers;skin_care;Moisturizers
skin_care_serums;skin_care;Skin Serums
electronics;products;Electronics
cameras;electronics;Cameras
cameras_lenses;cameras;Lenses
cameras_memory_cards;cameras;Camera Memory Cards
cameras_tripods;cameras;Tripods
computers;electronics;Computers
computers_desktops;computers;Desktops
computers_laptops;computers;Laptops
computers_peripherals;computers;Peripherals
headphones;electronics;Headphones
headphones_earbuds;headphones;Earbuds
headphones_noise_cancellation;headphones;Noise Cancellation
headphones_wireless;headphones;Wireless Audio
smartphones;electronics;Smartphones
smartphones_cases;smartphones;Phone Cases
smartphones_chargers;smartphones;Phone Chargers
smartphones_screen_protectors;smartphones;Screen Protectors
televisions;electronics;Televisions
televisions_home_cinema;televisions;Home Cinema
televisions_mounts;televisions;TV Mounts
televisions_streaming_devices;televisions;Streaming Devices
home_goods;products;Home Goods
home_goods_decor;home_goods;Home Decor
home_goods_decor_candles;home_goods_decor;Decorative Home Candles
home_goods_decor_lighting;home_goods_decor;Decorative Lighting
home_goods_decor_rugs;home_goods_decor;Home Rugs
home_goods_decor_vases;home_goods_decor;Decorative Vases
home_goods_decor_wall;home_goods_decor;Wall Decor
home_goods_decor_wall_art;home_goods_decor;Wall Art
home_goods_furniture;home_goods;Furniture
home_goods_furniture_bedroom;home_goods_furniture;Bedroom Furniture
home_goods_furniture_dining_room;home_goods_furniture;Dining Room Furniture
home_goods_furniture_living_room;home_goods_furniture;Living Room Furniture
home_goods_furniture_office;home_goods_furniture;Office Furniture
home_goods_furniture_outdoor;home_goods_furniture;Outdoor Furniture
home_goods_furniture_storage;home_goods_furniture;Storage Furniture
home_goods_kitchenware;home_goods;Kitchenware
home_goods_kitchenware_bakeware;home_goods_kitchenware;Bakeware
home_goods_kitchenware_cookware;home_goods_kitchenware;Cookware
home_goods_kitchenware_cutlery;home_goods_kitchenware;Cutlery
home_goods_kitchenware_dining_sets;home_goods_kitchenware;Dining Sets
home_goods_kitchenware_food_storage;home_goods_kitchenware;Food Storage
home_goods_kitchenware_utensils;home_goods_kitchenware;Utensils
outdoor_goods;products;Outdoor Goods
camping_gear;outdoor_goods;Camping Gear
camping_gear_sleeping_bags;camping_gear;Sleeping Bags
camping_gear_stoves;camping_gear;Camp Stoves
camping_gear_tents;camping_gear;Tents
sports_equipment;outdoor_goods;Outdoor Recreation
outdoor_sports;sports_equipment;Adventure Sports
sports_equipment_cycling;sports_equipment;Outdoor Cycling
sports_equipment_fishing;sports_equipment;Fishing
sports_equipment_hiking;sports_equipment;Hiking
team_sports;sports_equipment;Outdoor Team Sports
pet_products;products;Pet Products
pet_accessories;pet_products;Pet Accessories
pet_accessories_beds;pet_accessories;Pet Beds
pet_accessories_collars;pet_accessories;Collars
pet_accessories_leashes;pet_accessories;Leashes
pet_food;pet_products;Pet Food
pet_food_dry_food;pet_food;Dry Food
pet_food_treats;pet_food;Treats
pet_food_wet_food;pet_food;Wet Food
pet_health;pet_products;Pet Health
pet_health_grooming;pet_health;Pet Grooming
pet_health_medications;pet_health;Pet Medications
pet_health_vitamins;pet_health;Pet Supplements
tools;products;Tools
hand_tools;tools;Hand Tools
hand_tools_clamps;hand_tools;Clamps
hand_tools_hammers;hand_tools;Hammers
hand_tools_screwdrivers;hand_tools;Screwdrivers
power_tools;tools;Power Tools
power_tools_drills;power_tools;Power Drills
power_tools_grinders;power_tools;Grinding Tools
power_tools_saws;power_tools;Saw Tools
tool_storage;tools;Tool Storage
tool_storage_tool_benches;tool_storage;Tool Benches
tool_storage_tool_boxes;tool_storage;Tool Boxes
tool_storage_wall_racks;tool_storage;Tool Wall Storage
toys;products;Toys
toys_action_figure_toys;toys;Action Figure Toys
toys_action_figure_toys_anime;toys_action_figure_toys;Anime Figures
toys_action_figure_toys_collectibles;toys_action_figure_toys;Collectible Figures
toys_action_figure_toys_figurines;toys_action_figure_toys;Figurines
toys_action_figure_toys_movie_figures;toys_action_figure_toys;Movie Figures
toys_action_figure_toys_statues;toys_action_figure_toys;Action Figure Statues
toys_action_figure_toys_superheroes;toys_action_figure_toys;Superhero Figures
toys_board_games;toys;Board Games
toys_board_games_card_games;toys_board_games;Card Games
toys_board_games_dice_games;toys_board_games;Dice Games
toys_board_games_family;toys_board_games;Family Games
toys_board_games_party_games;toys_board_games;Party Games
toys_board_games_strategic;toys_board_games;Strategic Board Games
toys_board_games_strategy;toys_board_games;Strategy Games
