iteration,story_id,story_title,passed,status,nliv_mean,csc_score,composite,sem_edge_f1,node_count,elapsed_sec
1,6,"Expand L3: Clothing",true,crash,0.6028495420069591,0.4252719961321658,0.6400160674237345,N/A,138,1504
2,7,"Expand L3: Home Goods",true,keep,0.5912094497740669,0.41870864349738224,0.6317370545830496,N/A,150,1151
3,8,"Expand L3: Books",false,discard,0.5828089677031685,0.3166798444651244,0.5981044094307427,N/A,160,410
4,8,"Expand L3: Books",true,crash,0.5805903262218589,0.30344084510118247,0.5932452530290363,N/A,160,2331
5,9,"Expand L3: Toys",true,keep,0.5850112686126396,0.4772574337144529,0.645736184138211,N/A,175,941
6,10,"Expand L3: Sporting Goods",false,discard,0.5824364036645578,0.3904606562428135,0.6178054555304041,N/A,185,450
7,10,"Expand L3: Sporting Goods",true,keep,0.5873496568346598,0.41258615969201473,0.626933135310894,N/A,84,460
8,11,"Expand L3: Tools",true,keep,0.595427745636904,0.4269262840388616,0.6359884557578382,N/A,107,611
9,12,"Expand L3: Pet Products",false,discard,0.613365469707383,0.31518457376422665,0.6092621163128966,N/A,127,550
10,12,"Expand L3: Pet Products",true,keep,0.6269243686859097,0.43145639307185973,0.6526186799896709,N/A,113,1101
11,13,"Expand L3: Cosmetics",false,discard,0.6307737594169955,0.3553891716442778,0.6319680844010156,N/A,125,3124
12,13,"Expand L3: Cosmetics",true,keep,0.6107174526090208,0.4256319679374089,0.6405680491083947,N/A,116,460
13,14,"Expand L3: Auto Parts",false,discard,0.6139742391109466,0.30559696803883246,0.6039822482366637,N/A,126,601
14,14,"Expand L3: Auto Parts",true,keep,0.6262384887974141,0.3367131464856614,0.6224705883489525,N/A,237,1141
15,15,"Refine: Fix weak edges",true,keep,0.6262384890499761,0.3367131464856614,0.6224705884499773,N/A,237,756
16,16,"Refine: MECE audit and balance",false,crash,0.6262384891762571,0.3367131464856614,0.6224705885004898,N/A,237,14100
17,16,"Refine: MECE audit and balance",false,crash,0.6262384946063414,0.3367131464856614,0.6224705906725234,N/A,237,61107
18,16,"Refine: MECE audit and balance",false,crash,0.6251551602818385,0.4098118139282408,0.6438991496746599,N/A,239,1504
19,16,"Refine: MECE audit and balance",true,keep,0.6251551597809591,0.4098118139282408,0.6438991494743082,N/A,239,311
20,17,"Refine: Final optimization",true,keep,0.625155159906179,0.4098118139282408,0.6438991495243961,N/A,239,2211
